type,date,status,total_workdays,total_income
day,2025-10-21,normal,,
day,2025-10-22,normal,,
day,2025-10-23,normal,,
day,2025-10-24,normal,,
day,2025-10-25,rest,,
day,2025-10-26,rest,,
day,2025-10-27,normal,,
day,2025-10-28,normal,,
day,2025-10-29,normal,,
day,2025-10-30,leave,,
day,2025-10-31,normal,,
day,2025-11-01,rest,,
day,2025-11-02,rest,,
day,2025-11-03,normal,,
day,2025-11-04,leave,,
day,2025-11-05,normal,,
day,2025-11-06,normal,,
day,2025-11-07,normal,,
day,2025-11-08,rest,,
day,2025-11-09,rest,,
day,2025-11-10,normal,,
day,2025-11-11,normal,,
day,2025-11-12,normal,,
day,2025-11-13,normal,,
day,2025-11-14,normal,,
day,2025-11-15,rest,,
day,2025-11-16,rest,,
day,2025-11-17,normal,,
day,2025-11-18,normal,,
day,2025-11-19,normal,,
day,2025-11-20,normal,,
day,2025-11-21,normal,,
day,2025-11-22,rest,,
day,2025-11-23,normal,,
summary,,,23,3450
